chinese_pharmaceutical_name,pinyin,property,meridian,taste
龙胆,Long Dan,Cold,"Gallbladder meridian,Liver meridian",Bitter
龙葵,Long Kui,Cold,"Bladder meridian,Liver meridian,Kidney meridian","Bitter,Mildly sweet"
龙眼肉,Long Yan Rou,Warm,Heart and spleen meridiansOthers meridian,Sweet
漏芦,Lou Lu,Cold,Stomach meridian,Bitter
芦根,Lu Gen,Cold,"Bladder meridian,Lung meridian,Stomach meridian",Sweet
芦荟,Lu Hui,Cold,"Large intestine meridian,Liver meridian",Bitter
鹿衔草,Lu Xian Cao,N/A,N/AOthers meridian,N/A
路路通,Lu Lu Tong,Even,"Bladder meridian,Liver meridian",Bitter
罗布麻叶,Luo Bu Ma Ye,Cool,Liver meridian,"Sweet,Bitter"
罗汉果,Luo Han Guo,Cool,"Spleen meridian,Spleen meridian",Sweet
络石藤,Luo Shi Teng,Mildly cold,"Liver meridian,Kidney meridian,Heart meridian","Bitter,Pungent"
麻黄,Ma Huang,Warm,"Bladder meridian,Lung meridian","Mildly bitter,Pungent"
麻黄根,Ma Huang Gen,Even,Lung meridian,"Sweet,Mildly astringent"
马鞭草,Ma Bian Cao,Cold,"Liver meridian,Spleen meridian","Bitter,Pungent"
马齿苋,Ma Chi Xian,Cold,"Large intestine meridian,Liver meridian",Sour
马兜铃,Ma Dou Ling,Mildly cold,"Large intestine meridian,Lung meridian",Bitter
马钱子,Ma Qian Zi,Cold,"Liver meridian,Spleen meridian",Bitter
麦冬,Mai Dong,Mildly cold,"Lung meridian,Stomach meridian,Heart meridian","Sweet,Mildly bitter"
麦芽,Mai Ya,Even,"Spleen meridian,Stomach meridian",Sweet
满山红,Man Shan Hong,Cold,Lung meridian,"Bitter,Pungent"
蔓荆子,Man Jing Zi,Mildly cold,"Bladder meridian,Liver meridian,Stomach meridian","Bitter,Pungent"
没药,Mo Yao,Even,"Liver meridian,Spleen meridian,Heart meridian","Bitter,Pungent"
玫瑰花,Mei Gui Hua,Warm,"Liver meridian,Spleen meridian","Sweet,Mildly bitter"
密蒙花,Mi Meng Hua,Mildly cold,Liver meridian,Sweet
绵萆薢,Mian Bi Xie,Even,"Kidney meridian,Stomach meridian",Bitter
明党参,Ming Dang Shen,Mildly cold,"Lung meridian,Liver meridian,Spleen meridian","Sweet,Mildly bitter"
墨旱莲,Mo Han Lian,Cool,"Kidney meridian, Liver meridian","Sweet,Sour"
牡丹皮,Mu Dan Pi,Mildly cold,"Liver meridian,Kidney meridian,Heart meridian","Bitter,Pungent"
牡荆叶,Mu Jing Ye,Even,Lung meridian,"Mildly bitter,Pungent"
木鳖子,Mu Bie Zi,Cool,"Liver meridian,Spleen meridian,Stomach meridian","Bitter,Mildly sweet"
木瓜,Mu Gua,Warm,"Liver meridian,Spleen meridian",Sour
木蝴蝶,Mu Hu Die,Cool,"Liver meridian,Lung meridian,Stomach meridian","Sweet,Bitter"
木通,Mu Tong,Cold,"Bladder meridian,Small intestine meridian,Heart meridianOthers meridian",Bitter
木香,Mu Xiang,Warm,"Large intestine meridian,Gallbladder meridian,Spleen meridian,Triple burner meridian,Stomach meridianOthers meridian","Bitter,Pungent"
木贼,Mu Zei,Even,"Lung meridian,Liver meridian","Sweet,Bitter"
南鹤虱,Nan He Shi,Even,"Spleen meridian,Stomach meridian","Bitter,Pungent"
南五味子,Nan Wu Wei Zi,Warm,"Lung meridian,Kidney meridian,Heart meridian","Sweet,Sour"
闹羊花,Nao Yang Hua,Warm,Liver meridian,Pungent
牛蒡子,Niu Bang Zi,Cold,"Lung meridian,Stomach meridian","Bitter,Pungent"
牛膝,Niu Xi,Even,"Liver meridian,Kidney meridian","Sweet,Bitter,Sour"
女贞子,Nv Zhen Zi,Cool,"Liver meridian,Kidney meridian","Sweet,Bitter"
藕节,Ou Jie,Even,"Lung meridian,Liver meridian,Stomach meridian","Sweet,Astringent"
胖大海,Pang Da Hai,Cold,"Large intestine meridian,Lung meridian",Sweet
佩兰,Pei Lan,Even,"Lung meridian,Spleen meridian,Stomach meridian",Pungent
枇杷叶,Pi Pa Ye,Mildly cold,"Lung meridian,Stomach meridian",Bitter
偏头七,Pian Tou Qi,Cold,"Liver meridian,Spleen meridian,Kidney meridian","Bitter,Mildly sweet"
平贝母,Ping Bei Mu,Mildly cold,"Lung meridian,Heart meridian","Sweet,Bitter"
蒲公英,Pu Gong Ying,Cold,"Liver meridian,Stomach meridian","Sweet,Bitter"
蒲黄,Pu Huang,Even,"Liver meridian,Pericardium meridianOthers meridian",Sweet
千金子,Qian Jin Zi,Warm,"Large intestine meridian,Liver meridian,Kidney meridian",Pungent
千里光,Qian Li Guang,Cold,"Lung meridian,Liver meridian",Bitter
牵牛子,Qian Niu Zi,Cold,"Large intestine meridian,Lung meridian,Kidney meridian",Bitter
前胡,Qian Hu,Mildly cold,Lung meridian,"Bitter,Pungent"
芡实,Qian Shi,Even,"Spleen meridian,Kidney meridian","Sweet,Astringent"
茜草,Qian Cao,Cold,Liver meridian,Bitter
羌活,Qiang Huo,Warm,"Bladder meridian,Kidney meridian","Bitter,Pungent"
秦艽,Qin Jiao,Even,"Gallbladder meridian,Liver meridian,Stomach meridian","Bitter,Pungent"
青风藤,Qing Feng Teng,Even,"Liver meridian,Spleen meridian","Bitter,Pungent"
青果,Qing Guo,Even,"Lung meridian,Stomach meridian","Sweet,Sour"
青蒿,Qing Hao,Cold,"Gallbladder meridian,Liver meridian","Bitter,Pungent"
青皮,Qing Pi,Warm,"Liver meridian, Gallbladder meridian, Stomach meridian","Bitter,Pungent"
青葙子,Qing Xiang Zi,Mildly cold,Liver meridian,Bitter
青叶胆,Qing Ye Dan,Cold,"Bladder meridian,Gallbladder meridian,Liver meridian","Sweet,Bitter"
拳参,Quan Shen,Mildly cold,"Large intestine meridian,Lung meridian,Liver meridian","Bitter,Astringent"
人参,Ren Shen,Mildly warm,"Lung meridian,Spleen meridian,Kidney meridian,Heart meridian","Sweet,Mildly bitter"
人参叶,Ren Shen Ye,Cold,"Lung meridian,Stomach meridian","Sweet,Bitter"
忍冬藤,Ren Dong Teng,Cold,"Lung meridian,Stomach meridian",Sweet
肉苁蓉,Rou Cong Rong,Warm,"Large intestine meridian,Kidney meridian","Sweet,Salty"
肉豆蔻,Rou Dou Kou,Warm,"Large intestine meridian,Spleen meridian,Stomach meridian",Pungent
肉桂,Rou Gui,Great hot,"Liver meridian,Spleen meridian,Kidney meridian,Heart meridian","Sweet,Pungent"
乳香,Ru Xiang,Warm,"Liver meridian,Spleen meridian,Heart meridian","Bitter,Pungent"
三白草,San Bai Cao,Cold,"Bladder meridian,Lung meridian","Sweet,Pungent"
三颗针,San Ke Zhen,Cold,"Large intestine meridian,Liver meridian,Stomach meridian",Bitter
三棱,San Leng,Even,"Liver meridian,Spleen meridian","Bitter,Pungent"
三七,San Qi,Warm,"Liver meridian,Stomach meridian","Sweet,Mildly bitter"
桑白皮,Sang Bai Pi,Cold,Lung meridian,Sweet
桑寄生,Sang Ji Sheng,Even,"Liver meridian,Kidney meridian","Sweet,Bitter"
桑叶,Sang Ye,Cold,"Lung meridian,Liver meridian","Sweet,Bitter"
桑枝,Sang Zhi,Even,Liver meridian,Mildly bitter
砂仁,Sha Ren,Warm,"Spleen meridian,Kidney meridian,Stomach meridian",Pungent
山慈菇,Shan Ci Gu,Cool,"Liver meridian,Spleen meridian","Sweet,Mildly pungent"
山豆根,Shan Dou Gen,Cold,"Lung meridian,Stomach meridian",Bitter
山柰,Shan Nai,Cold,"Lung meridian,Liver meridian",Bitter
山药,Shan Yao,Even,"Lung meridian,Spleen meridian,Kidney meridian",Sweet
山楂,Shan Zha,Mildly warm,"Liver meridian,Spleen meridian,Stomach meridian","Sweet,Sour"
山茱萸,Shan Zhu Yu,Mildly warm,"Liver meridian,Kidney meridian","Astringent,Sour"
商陆,Shang Lu,Cold,"Large intestine meridian,Lung meridian,Spleen meridian,Kidney meridian",Bitter
蛇床子,She Chuang Zi,Warm,Kidney meridian,"Bitter,Pungent"
射干,She Gan,Cold,Lung meridian,Bitter
升麻,Sheng Ma,Mildly cold,"Large intestine meridian,Lung meridian,Spleen meridian,Stomach meridian","Mildly sweet,Pungent"
生姜,Sheng Jiang,Mildly warm,"Lung meridian,Spleen meridian,Stomach meridian",Pungent
蓍草,Shi Cao,Even,"Bladder meridian,Lung meridian,Spleen meridian","Bitter,Sour"
石菖蒲,Shi Chang Pu,Warm,"Stomach meridian,Heart meridian","Bitter,Pungent"
石吊兰,Shi Diao Lan,Warm,Lung meridian,Bitter
石斛,Shi Hu,Mildly cold,"Stomach meridian,Triple burner meridian,Kidney meridianOthers meridian",Sweet
石榴皮,Shi Liu Pi,Warm,Large intestine meridian,"Astringent,Sour"
石韦,Shi Wei,Mildly cold,"Bladder meridian,Lung meridian","Sweet,Bitter"
使君子,Shi Jun Zi,Warm,"Spleen meridian,Stomach meridian",Sweet
柿蒂,Shi Di,Even,Stomach meridian,"Bitter,Astringent"
水飞蓟,Shui Fei Ji,Cool,"Gallbladder meridian,Liver meridian",Bitter
丝瓜络,Si Gua Luo,Even,"Lung meridian,Liver meridian,Stomach meridian",Sweet
四季青,Si Ji Qing,Cool,"Bladder meridian,Large intestine meridian,Lung meridian","Bitter,Astringent"
苏合香,Su He Xiang,Warm,"Spleen meridian,Heart meridian",Pungent
苏木,Su Mu,Even,"Liver meridian,Spleen meridian,Heart meridian","Sweet,Salty"
酸枣仁,Suan Zao Ren,Even,"Gallbladder meridian,Liver meridian,Heart meridian","Sweet,Sour"
娑罗子,Suo Luo Zi,Warm,"Liver meridian,Stomach meridian",Sweet
锁阳,Suo Yang,Warm,"Large intestine meridian,Liver meridian,Kidney meridian",Sweet
太子参,Tai Zi Shen,Even,"Lung meridian,Spleen meridian","Sweet,Mildly bitter"
檀香,Tan Xiang,Warm,"Lung meridian,Spleen meridian,Stomach meridian,Heart meridian",Pungent
桃仁,Tao Ren,Even,"Large intestine meridian,Liver meridian,Heart meridian","Sweet,Bitter"
桃枝,Tao Zhi,Even,"Liver meridian,Heart meridian",Bitter
天冬,Tian Dong,Cold,"Lung meridian,Kidney meridian","Sweet,Bitter"
天花粉,Tian Hua Fen,Mildly cold,"Lung meridian,Stomach meridian","Sweet,Mildly bitter"
天麻,Tian Ma,Even,Liver meridian,Sweet
天南星,Tian Nan Xing,Warm,"Lung meridian,Liver meridian,Spleen meridian","Bitter,Pungent"
天仙藤,Tian Xian Teng,Warm,"Liver meridian,Spleen meridian,Kidney meridian",Bitter
天仙子,Tian Xian Zi,Warm,"Liver meridian,Stomach meridian,Heart meridian","Bitter,Pungent"
天竺黄,Tian Zhu Huang,Cool,"Heart meridian, Liver meridian",Sweet
葶苈子,Ting Li Zi,Great cold,"Bladder meridian,Lung meridian","Bitter,Pungent"
土贝母,Tu Bei Mu,Mildly cold,"Lung meridian,Spleen meridian",Bitter
土茯苓,Tu Fu Ling,Even,"Liver meridian,Stomach meridian","Bland,Sweet"
土荆皮,Tu Jing Pi,Warm,"Lung meridian,Spleen meridian",Pungent
土木香,Tu Mu Xiang,Warm,"Liver meridian,Spleen meridian","Bitter,Pungent"
菟丝子,Tu Si Zi,Even,"Liver meridian,Spleen meridian,Kidney meridian","Sweet,Pungent"
王不留行,Wang Bu Liu Xing,Even,"Liver meridian,Stomach meridian",Bitter
威灵仙,Wei Ling Xian,Warm,Bladder meridian,"Salty,Pungent"
委陵菜,Wei Ling Cai,Cold,"Large intestine meridian,Liver meridian",Bitter
乌梅,Wu Mei,Even,"Large intestine meridian,Lung meridian,Liver meridian,Spleen meridian","Astringent,Sour"
乌药,Wu Yao,Warm,"Bladder meridian,Lung meridian,Spleen meridian,Kidney meridian",Pungent
吴茱萸,Wu Zhu Yu,Hot,"Liver meridian,Spleen meridian,Kidney meridian,Stomach meridian","Bitter,Pungent"
五加皮,Wu Jia Pi,Warm,"Liver meridian, Kidney meridian","Pungent,Bitter,Sweet"
五味子,Wu Wei Zi,Warm,"Lung meridian,Kidney meridian,Heart meridian","Sweet,Sour"
西洋参,Xi Yang Shen,Cool,"Lung meridian,Kidney meridian,Heart meridian","Sweet,Mildly bitter"
菥蓂,Xi Ming,Mildly cold,"Large intestine meridian,Liver meridian,Stomach meridian",Pungent
豨莶草,Xi Xian Cao,Cold,"Liver meridian,Kidney meridian","Bitter,Pungent"
细辛,Xi Xin,Warm,"Lung meridian,Kidney meridian,Heart meridian",Pungent
夏枯草,Xia Ku Cao,Cold,"Gallbladder meridian,Liver meridian","Bitter,Pungent"
夏天无,Xia Tian Wu,Warm,Liver meridian,"Bitter,Mildly pungent"
仙鹤草,Xian He Cao,Even,"Liver meridian,Heart meridian","Bitter,Astringent"
仙茅,Xian Mao,Hot,"Liver meridian,Spleen meridian,Kidney meridian",Pungent
香附,Xiang Fu,Even,"Liver meridian,Spleen meridian,Triple burner meridianOthers meridian","Mildly sweet,Mildly bitter,Pungent"
香加皮,Xiang Jia Pi,Warm,"Liver meridian,Kidney meridian,Heart meridian","Bitter,Pungent"
香薷,Xiang Ru,Mildly warm,"Lung meridian,Stomach meridian",Pungent
香橼,Xiang Yuan,Warm,"Lung meridian,Liver meridian,Spleen meridian","Bitter,Sour,Pungent"
小茴香,Xiao Hui Xiang,Warm,"Liver meridian,Spleen meridian,Kidney meridian,Stomach meridian",Pungent
小蓟,Xiao Ji,Cool,"Liver meridian,Heart meridian","Sweet,Bitter"
薤白,Xie Bai,Warm,"Large intestine meridian,Lung meridian,Stomach meridian,Heart meridian","Bitter,Pungent"
辛夷,Xin Yi,Warm,"Lung meridian,Stomach meridian",Pungent
徐长卿,Xu Chang Qing,Warm,"Liver meridian,Stomach meridian",Pungent
续断,Xu Duan,Mildly warm,"Liver meridian,Kidney meridian","Bitter,Pungent"
玄参,Xuan Shen,Mildly cold,"Lung meridian,Kidney meridian,Stomach meridian","Sweet,Bitter,Salty"
旋覆花,Xuan Fu Hua,Mildly warm,"Large intestine meridian,Lung meridian,Spleen meridian,Stomach meridian","Bitter,Salty,Pungent"
血竭,Xue Jie,Even,"Liver meridian,Heart meridian","Sweet,Salty"
鸦胆子,Ya Dan Zi,Cold,"Large intestine meridian,Liver meridian",Bitter
鸭跖草,Ya Zhi Cao,Cold,"Lung meridian,Stomach meridian,Small intestine meridianOthers meridian","Bland,Sweet"
亚麻子,Ya Ma Zi,Even,"Large intestine meridian,Lung meridian,Liver meridian",Sweet
延胡索,Yan Hu Suo,Warm,"Liver meridian,Spleen meridian","Bitter,Pungent"
岩白菜,Yan Bai Cai,Even,"Lung meridian,Liver meridian,Spleen meridian","Bitter,Astringent"
洋金花,Yang Jin Hua,Warm,"Lung meridian,Liver meridian",Pungent
药王茶,Yao Wang Cha,Even,"Heart meridian,liver and spleen meridiansOthers meridian",Mildly sweet
野菊花,Ye Ju Hua,Mildly cold,"Liver meridian,Heart meridian","Bitter,Pungent"
野木瓜,Ye Mu Gua,Even,"Liver meridian,Stomach meridian",Mildly bitter
一枝黄花,Yi Zhi Huang Hua,Cool,"Lung meridian,Liver meridian","Bitter,Pungent"
伊贝母,Yi Bei Mu,Mildly cold,"Lung meridian,Heart meridian","Sweet,Bitter"
益母草,Yi Mu Cao,Mildly cold,"Bladder meridian,Liver meridian,Pericardium meridianOthers meridian","Bitter,Pungent"
益智,Yi Zhi,Warm,"Spleen meridian,Kidney meridian",Pungent
薏苡仁,Yi Yi Ren,Cool,"Lung meridian,Spleen meridian,Stomach meridian","Bland,Sweet"
茵陈,Yin Chen,Mildly cold,"Gallbladder meridian,Liver meridian,Spleen meridian,Stomach meridian","Bitter,Pungent"
银柴胡,Yin Chai Hu,Mildly cold,"Liver meridian,Stomach meridian",Sweet
淫羊藿,Yin Yang Huo,Warm,"Liver meridian,Triple burner meridian,Kidney meridianOthers meridian","Sweet,Mildly bitter,Pungent"
罂粟壳,Ying Su Ke,Even,"Large intestine meridian,Lung meridian,Kidney meridian","Astringent,Sour"
鱼腥草,Yu Xing Cao,Mildly cold,Lung meridian,Pungent
玉竹,Yu Zhu,Mildly cold,"Lung meridian,Stomach meridian",Sweet
郁金,Yu Jin,Cold,"Lung meridian,Liver meridian,Heart meridian","Bitter,Pungent"
郁李仁,Yu Li Ren,Even,"Large intestine meridian,Spleen meridian,Small intestine meridianOthers meridian","Sweet,Bitter,Pungent"
预知子,Yu Zhi Zi,Cold,"Bladder meridian,Gallbladder meridian,Liver meridian,Stomach meridian",Bitter
芫花,Yuan Hua,Warm,"Lung meridian,Spleen meridian,Kidney meridian","Bitter,Pungent"
远志,Yuan Zhi,Warm,"Lung meridian,Kidney meridian,Heart meridian","Bitter,Pungent"
月季花,Yue Ji Hua,Warm,Liver meridian,"Sweet,Mildly bitter"
皂角刺,Zao Jiao Ci,Warm,"Liver meridian,Stomach meridian",Pungent
泽兰,Ze Lan,Mildly warm,"Liver meridian,Spleen meridian","Bitter,Pungent"
泽泻,Ze Xie,Cold,"Bladder meridian,Kidney meridian","Bland,Sweet"
浙贝母,Zhe Bei Mu,Cold,"Lung meridian,Heart meridian",Bitter
知母,Zhi Mu,Cold,"Lung meridian,Kidney meridian,Stomach meridian","Sweet,Bitter"
栀子,Zhi Zi,Cold,"Lung meridian,Triple burner meridian,Heart meridianOthers meridian",Bitter
蜘蛛香,Zhi Zhu Xiang,Warm,"Spleen meridian,Stomach meridian,Heart meridian","Mildly bitter,Pungent"
枳壳,Zhi Qiao,Mildly cold,"Spleen meridian,Stomach meridian","Bitter,Sour,Pungent"
枳实,Zhi Shi,Mildly cold,"Spleen meridian,Stomach meridian","Bitter,Sour,Pungent"
肿节风,Zhong Jie Feng,Even,"Liver meridian,Heart meridian","Bitter,Pungent"
朱砂根,Zhu Sha Gen,Even,"Lung meridian,Liver meridian","Mildly bitter,Pungent"
珠子参,Zhu Zi Shen,Cold,"Lung meridian,Liver meridian,Stomach meridian","Mildly sweet,Bitter"
猪牙皂,Zhu Ya Zao,Warm,"Lung meridian, Large intestine meridian","Pungent,Salty"
竹根七,Zhu Gen Qi,Cold,"Liver meridian,Spleen meridian,Kidney meridian","Bitter,Mildly sweet"
竹茹,Zhu Ru,Mildly cold,"Gallbladder meridian,Lung meridian,Stomach meridian,Heart meridian",Sweet
追风七（蓝布正）,Zhui Feng Qi （Lan Bu Zheng ）,Cool,"Lung meridian,Liver meridian,Spleen meridian","Sweet,Mildly bitter"
紫草,Zi Cao,Cold,"Liver meridian,Heart meridian","Sweet,Salty"
紫花地丁,Zi Hua Di Ding,Cold,"Liver meridian,Heart meridian","Bitter,Pungent"
紫苏梗,Zi Su Geng,Warm,"Lung meridian,Spleen meridian",Pungent
紫苏叶,Zi Su Ye,Warm,"Lung meridian,Spleen meridian",Pungent
紫苏子,Zi Su Zi,Warm,Lung meridian,Pungent
紫菀,Zi Wan,Warm,Lung meridian,"Bitter,Pungent"
棕榈,Zong Lv,Even,"Large intestine meridian,Lung meridian,Liver meridian","Bitter,Astringent"